alanc: array_simple.alan:6:11: error: expected factor, but found ';'
alanc: bracket_simple.alan:6:4: error: expected factor, but found ']'
alanc: close_bracket.alan:6:6: error: expected ']', but found ':='
alanc: expr_array.alan:7:1: error: expected array allocation or expression, but found 'end'
alanc: gets.alan:6:7: error: expected ':=', but found numeric literal
alanc: id.alan:6:2: error: expected statement, but found '['
alanc: open_bracket.alan:6:4: error: expected ':=', but found numeric literal
alanc: begin.alan:6:2: error: expected 'begin', but found 'relax'
alanc: statements.alan:19:1: error: expected statement, but found 'end'
alanc: call.alan:11:6: error: expected ':=', but found '('
alanc: comma.alan:11:14: error: expected ')', but found numeric literal
alanc: comma_expr.alan:11:15: error: expected factor, but found ':='
alanc: expr.alan:11:12: error: expected ')', but found ':='
alanc: id.alan:11:6: error: expected identifier, but found '('
alanc: open_parenthesis.alan:11:11: error: expected '(', but found ')'
alanc: body.alan:6:1: error: expected 'begin', but found 'end'
alanc: close_parentheses.alan:6:1: error: expected ')', but found 'begin'
alanc: comma.alan:5:25: error: expected ')', but found 'integer'
alanc: comma_id.alan:5:33: error: expected identifier, but found ')'
alanc: comma_type.alan:5:26: error: expected type, but found identifier
alanc: function.alan:5:1: error: expected 'begin', but found identifier
alanc: id.alan:5:10: error: expected identifier, but found '('
alanc: open_parentheses.alan:5:14: error: expected '(', but found 'integer'
alanc: to_type.alan:6:1: error: expected type, but found 'begin'
alanc: type.alan:5:15: error: expected ')', but found identifier
alanc: type_id.alan:5:22: error: expected identifier, but found ')'
alanc: else_statements.alan:9:2: error: expected statement, but found 'end'
alanc: elsif.alan:7:4: error: expected ':=', but found '<>'
alanc: elsif_expr.alan:8:8: error: expected factor, but found 'then'
alanc: elsif_statements.alan:9:2: error: expected statement, but found 'end'
alanc: elsif_then.alan:9:3: error: expected 'then', but found 'relax'
alanc: end.alan:13:1: error: expected 'end', but found end-of-file
alanc: expr.alan:6:5: error: expected factor, but found 'then'
alanc: if.alan:6:4: error: expected ':=', but found '='
alanc: statements.alan:7:2: error: expected statement, but found 'end'
alanc: then.alan:7:2: error: expected 'then', but found 'end'
alanc: close_bracket.alan:8:1: error: expected ']', but found 'end'
alanc: get.alan:7:3: error: expected ':=', but found ';'
alanc: open_bracket.alan:7:10: error: expected 'end', but found identifier
alanc: simple.alan:7:11: error: expected factor, but found ']'
alanc: expr.alan:8:9: error: expected 'end', but found '='
alanc: leave.alan:9:2: error: expected ':=', but found 'elsif'
alanc: body.alan:13:1: error: expected 'begin', but found end-of-file
alanc: id.alan:5:1: error: expected identifier, but found 'begin'
alanc: source.alan:3:1: error: expected 'source', but found identifier
alanc: statement.alan:7:1: error: expected statement, but found 'end'
alanc: vardef_statement.alan:8:1: error: expected statement, but found 'end'
alanc: semicolon_statement.alan:9:1: error: expected statement, but found 'end'
alanc: statement.alan:6:1: error: expected statement, but found 'end'
alanc: comma.alan:6:12: error: expected ';', but found identifier
alanc: comma_id.alan:6:13: error: expected identifier, but found ';'
alanc: id.alan:6:9: error: expected identifier, but found ';'
alanc: semicolon.alan:7:2: error: expected ';', but found 'relax'
alanc: type.alan:6:3: error: expected ':=', but found ';'
alanc: *.alan: error: file 'Scanner//*//*.alan' could not be opened: Inappropriate ioctl for device
